  n	repetitions	time
     0  11820014  0.000000
    10   2238124  0.000000
    20    733146  0.000001
    30    387384  0.000003
    40    226914  0.000004
    50    152972  0.000007
    60    110855  0.000009
    70     83999  0.000012
    80     65026  0.000015
    90     51887  0.000019
   100     42498  0.000024
   200     11221  0.000089
   300      5187  0.000193
   400      2905  0.000344
   500      1880  0.000532
   600      1307  0.000765
   700       956  0.001046
   800       734  0.001364
   900       580  0.001724
  1000       472  0.002121
