  n	repetitions	time
     0  11592699  0.000000
    10   2405752  0.000000
    20    751705  0.000001
    30    413550  0.000002
    40    234046  0.000004
    50    153927  0.000006
    60    113625  0.000009
    70     85104  0.000012
    80     65973  0.000015
    90     53499  0.000019
   100     43535  0.000023
   200     11578  0.000086
   300      5131  0.000195
   400      2961  0.000338
   500      1903  0.000525
   600      1303  0.000767
   700       954  0.001048
   800       729  0.001372
   900       576  0.001736
  1000       460  0.002176
